id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
75924,76152,138547,,,,,15.554584,-15.326390,326200,-17.76,-1.08,-44.5,9.100,-10.900,Md,1.500,-57611.795128,-77344.971792,-26431.729437,-0.00679573,0.00528920,-0.00049290,4.07218047259954,-0.26749597381488627,-0.00000008610290966666668,-0.000000005235987,,,Lib,1,75924,,1995262.3149688828,RU,10.349,7.979
76740,76976,140283,,GJ 1195,,,15.717530,-10.933497,190.093,-1115.54,-302.77,-171.4,7.200,3.373,sdF3,0.484,-32.190675,-47.301231,-11.052718,-0.00015459,0.00033300,-0.00005073,4.114839773457844,-0.19082552386582502,-0.000005408290532069444,-0.00000146787038,,,,1,76740,,3.8976245309771955,,,
79761,80003,,,,,,16.331016,22.638965,399.755,-40.27,-451.15,0.0,11.520,6.078,sdG2:,0.723,-47.863033,-102.480221,47.171938,-0.00006534,-0.00008336,-0.00024737,4.275450070698395,0.39512447267695877,-0.00000019523446915972224,-0.000002187236919,,,,1,79761,,0.322700768751553,,11.625,11.375
81030,81276,,,,,,16.599618,45.866463,1165,-154.75,155.13,0.0,11.240,3.476,sdF3:,0.360,-89.146559,-232.163309,256.328188,-0.00018102,0.00027599,0.00018702,4.345769784319757,0.8005208038002924,-0.0000007502491706597223,0.000000752091462,,,,1,81030,,3.5448674447379984,,11.295,11.185
81064,81309,149234,,,,,16.606853,-55.414788,326200,-1.48,-15.78,0.0,9.870,-10.130,Md,1.500,-20246.983042,-53029.353025,-82328.290371,0.00157613,0.00613951,-0.00434221,4.3476638932166285,-0.9671705094064824,-0.000000007175242472222222,-0.000000076503598,,,Ara,1,81064,,981747.9430199864,X,12.22,9.52
82443,82695,152064,,,,,16.903698,-56.265011,326200,3.77,1.31,0.0,11.010,-8.990,Md,0.999,-15721.296401,-53263.529092,-83161.513383,0.00160333,-0.00102388,0.00035268,4.425377745927912,-0.9820096874282337,0.000000018277475756944443,0.000000006351059,,,Ara,1,82443,,343557.947899875,Z,12.86,9.49
83065,83320,,,,,,17.028886,16.150931,521.92,-287.42,-244.50,0.0,11.460,5.439,sdF:,0.460,-38.652991,-148.745001,44.506975,-0.00022904,0.00000501,-0.00018216,4.4581518392995445,0.28188692401733,-0.0000013934514806527778,-0.000001185369448,,,,1,83065,,0.5812995677253878,,11.598,11.368
86732,87001,161817,,,,,17.777953,25.749151,595.256,-37.05,-43.23,-362.8,6.970,0.664,sdA2,0.166,-9.549131,-164.081653,79.274507,-0.00001427,0.00031896,-0.00019564,4.654257294294649,0.44940746913165247,-0.00000017962346864583334,-0.000000209584954,,,,1,86732,,47.24980276801951,,,
87196,87467,,,,,,17.871688,36.401838,675.362,-154.86,-244.96,0.0,10.350,3.770,sdF8:,0.520,-5.597029,-166.546685,122.866377,-0.00016024,-0.00014060,-0.00019788,4.678796850653425,0.6353319275035788,-0.0000007507824657083334,-0.000001187599591,,,,1,87196,,2.703958364108843,,10.402,10.282
87665,87937,,,Gl 699,,Barnard's Star,17.963472,4.693388,5.94924,-797.84,9999.99,-111.0,9.540,13.235,sdM4,1.570,-0.017373,-1.816613,0.149123,-0.00000591,0.00012040,0.00007888,4.702826031672147,0.08191507873243374,-0.000003868037468944444,0.000050066369421,,,Oph,1,87665,,0.00044258837236262646,V2500,9.59,9.49
88550,88827,,,,,,18.132388,1.875750,616.635,-188.91,-234.22,0.0,11.090,4.707,sdF5:,0.454,6.547004,-188.821139,6.187556,-0.00017277,-0.00001302,-0.00021452,4.7470481472116655,0.0327380221072325,-0.0000009158615239375,-0.000001135530602,,,,1,88550,,1.1407750129221204,,11.145,11.025
89653,89931,168454,6859,,19Del Sgr,Kaus Meridionalis,18.349900,-29.828103,347.761,29.96,-26.38,-20.0,2.720,-2.419,K3III,1.380,8.460232,-92.098382,-53.027575,0.00001318,0.00002584,-0.00000165,4.803992512939064,-0.5205986100711699,0.00000014525017869444445,-0.000000127893848,Del,19,Sgr,1,89653,,808.3510373900685,,,
91441,91726,172748,7020,,Del Sct,,18.704563,-9.052549,202.483,7.87,2.02,-45.0,4.700,0.735,F2IIIp d Del,0.358,11.242967,-60.259791,-9.766549,-0.00000599,0.00004502,0.00000784,4.896843129854821,-0.157996779309185,0.00000003815483665972222,0.000000009793236,Del,,Sct,1,91441,,44.25883723626264,Del,4.783,4.613
92029,92316,174107,,,,,18.815177,0.584129,657.661,10.81,-8.86,-23.0,11.900,5.377,sdB(Nova),,42.698643,-197.028627,2.055399,0.00000536,0.00002514,-0.00000890,4.92580176957314,0.010194967148195,0.000000052408358868055554,-0.000000042954492,,,Aql,1,92029,,0.6154602373713159,V603,12.079,11.609
